PassengerId,Survived
1, 0
2, 1
3, 0
4, 1
5, 0
6, 0
7, 0
8, 1
9, 1
10, 1
11, 1
13, 0
14, 1
15, 0
16, 0
17, 1
18, 0
19, 1
20, 0
21, 0
22, 0
23, 0
24, 0
25, 1
26, 1
27, 0
28, 1
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 1
36, 1
37, 0
38, 0
39, 1
40, 0
41, 1
42, 1
43, 0
44, 1
45, 0
59, 1
60, 1
61, 0
62, 1
63, 1
64, 1
65, 0
66, 0
83, 0
84, 0
85, 0
86, 1
87, 1
88, 0
89, 1
90, 0
91, 0
92, 0
93, 1
94, 1
95, 0
96, 0
97, 0
98, 1
99, 1
100, 0
101, 0
102, 0
103, 1
104, 0
105, 1
106, 0
107, 0
108, 0
109, 0
110, 0
111, 0
112, 1
113, 0
114, 1
115, 0
116, 0
117, 0
118, 0
119, 1
120, 1
121, 1
122, 0
123, 0
124, 0
125, 1
126, 0
127, 0
128, 0
129, 0
130, 0
131, 0
132, 0
133, 1
134, 1
135, 0
136, 0
137, 1
138, 1
139, 0
140, 0
141, 0
142, 0
143, 1
161, 0
162, 0
163, 0
164, 0
165, 1
166, 1
167, 0
168, 1
169, 0
170, 0
171, 0
172, 1
173, 1
174, 0
175, 0
176, 0
177, 0
178, 1
179, 0
180, 0
181, 0
182, 0
183, 1
184, 1
185, 1
186, 0
187, 0
188, 0
189, 1
190, 0
191, 0
192, 0
193, 0
194, 1
195, 1
196, 1
197, 0
198, 0
199, 0
200, 0
201, 0
202, 0
203, 0
204, 0
205, 0
206, 0
207, 0
208, 0
209, 0
210, 0
230, 0
231, 1
232, 0
233, 0
234, 1
235, 0
236, 0
237, 0
238, 1
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 1
247, 0
248, 1
249, 1
250, 0
251, 0
252, 1
253, 0
254, 0
255, 1
256, 1
257, 0
258, 1
259, 1
260, 1
261, 0
262, 1
263, 1
264, 0
278, 0
279, 1
280, 1
281, 0
282, 0
283, 0
284, 0
285, 0
286, 0
287, 0
288, 0
289, 0
290, 0
291, 1
292, 1
293, 0
294, 0
295, 0
296, 0
297, 0
298, 1
299, 0
300, 1
301, 0
302, 0
303, 0
304, 0
305, 0
306, 1
307, 0
308, 1
309, 0
310, 1
311, 1
312, 1
313, 1
314, 0
315, 1
316, 0
317, 1
318, 0
319, 1
320, 1
321, 0
322, 0
323, 0
324, 1
325, 0
326, 1
327, 0
328, 0
329, 1
330, 1
331, 0
332, 0
333, 1
334, 1
335, 0
336, 0
337, 1
338, 1
339, 0
340, 0
341, 1
342, 1
343, 0
344, 0
345, 0
346, 0
347, 0
348, 0
349, 0
350, 0
351, 0
352, 0
353, 0
354, 0
365, 0
366, 0
367, 1
368, 0
369, 0
370, 1
371, 1
372, 0
373, 0
374, 0
375, 1
376, 0
377, 0
378, 1
379, 0
380, 0
381, 1
382, 1
383, 0
384, 1
385, 0
386, 0
387, 1
388, 0
389, 0
390, 0
412, 0
413, 1
414, 0
415, 0
416, 0
427, 1
428, 0
429, 0
430, 0
431, 0
432, 0
433, 1
434, 0
435, 1
436, 1
437, 1
438, 1
439, 1
440, 0
441, 1
442, 0
443, 0
444, 0
445, 0
446, 1
447, 1
448, 0
449, 1
450, 0
451, 1
452, 0
453, 0
454, 1
